Release Date,Time,Actual,Forecast,Previous
2023/11/23,13:00:00,-7B,7B,60B
2023/12/01,11:30:00,10B,-12B,-7B
2023/12/08,11:30:00,-117B,-105B,10B
2023/12/15,11:30:00,-55B,-54B,-117B
2023/12/22,11:30:00,-87B,-82B,-55B
2023/12/29,11:30:00,-87B,-79B,-87B
2024/01/05,11:30:00,-14B,-40B,-87B
2024/01/12,11:30:00,-140B,-119B,-14B
2024/01/19,11:30:00,-154B,-164B,-140B
2024/01/26,11:30:00,-326B,-322B,-154B
2024/02/02,11:30:00,-197B,-202B,-326B
2024/02/09,11:30:00,-75B,-73B,-197B
2024/02/16,11:30:00,-49B,-67B,-75B
2024/02/23,11:30:00,-60B,-59B,-54B
2024/03/01,11:30:00,-96B,-86B,-60B
2024/03/08,11:30:00,-40B,-42B,-96B
2024/03/15,10:30:00,-9B,-3B,-40B
2024/03/22,10:30:00,7B,5B,-9B
2024/03/29,10:30:00,-36B,-26B,7B
2024/04/05,10:30:00,-37B,-42B,-36B
2024/04/12,10:30:00,24B,14B,-37B
2024/04/19,10:30:00,50B,54B,24B
2024/04/26,10:30:00,92B,87B,50B
2024/05/03,10:30:00,59B,68B,92B
2024/05/10,10:30:00,79B,87B,59B
2024/05/17,10:30:00,70B,76B,79B
2024/05/24,10:30:00,78B,84B,70B
